company_name,position_name,position_description,skills
CTI Consulting,Berater / Entwickler für digitale Geschäftsprozesse im SAP-Umfeld (m/w/d),"CTI ConsultingCTI ConsultingBerater / Entwickler für digitale Geschäftsprozesse im SAP-Umfeld (m/w/d)bundesweitHome-OfficeABAPABAP OOConsultingSAPSAP ABAPSAP Human Capital Management (SAP HCM)Jetzt bewerbenDas erwartet SieLösungenElektronische RechnungseingangsverarbeitungBANF- und BestellfreigabeGenehmigung von HCM Abwesenheiten & ReisekostenTechnische ThemenSAP Workflow & ArchiveLinkSAP Invoice Management by OpenTextSAP ABAP (OO)Das macht Sie ausStudium Abgeschlossenes Studium der Informatik, Wirtschaftsinformatik oder Wirtschaftswissenschaften.Beratungs- und IT-Affinität Auch andere Studiengänge willkommen – wichtig ist eine hohe Affinität für Beratung an der Schnittstelle zwischen Business und IT.Erfahrungen Relevante Erfahrung aus Beratungshaus oder IT-Abteilung. Auch Hochschulabsolventen sind willkommen.Soft Skills Gutes logisch-abstraktes Denkvermögen, Kreativität, Präsentations- und Kommunikationsskills. Sehr gute Deutsch- und Englischkenntnisse.Das bieten wir IhnenAttraktive VergütungVertrauensarbeitszeitMobile OfficeFreiraum für eigene IdeenFührung nach ZielenJetzt bewerbenJob-InfosBerufsfelderAnwendungsentwicklungConsultingStudienfächerInformatikInformationstechnikWirtschaftsinformatikWirtschaftswissenschaftenAbschlussBachelorMaster/DiplomUnternehmenCTI ConsultingProfil4 IT-JobsIT-GehälterSalary Calculator Gerry LogoWas kann ich verdienen?Gehalt ausrechnenÄhnliche IT-JobsVirtimoIT-Consultant für die digitale Transformation [m/w/d] Berlin ConsultingCapgeminiTechnical Gen AI Solutions Consultant (w/m/d) Stuttgart +12 System Engineering / Admin +1DeloitteAI Governance Masterclass - Dein Einstieg als Consultant Data Management (m/w/d) Stuttgart +7 Consulting +2MHP Management- und IT-Beratung(Senior) Consultant SAP HCM - Payroll & Time Management (all genders) bundesweit ConsultingDeloitteModern Data Management Masterclass - Dein Einstieg als Consultant Data Management (m/w/d) Stuttgart +7 Consulting +1Alle anzeigenWeitere JobsAnwendungsentwicklungConsultingget in IT hat die Informationen von der Webseite des Unternehmens und ggf. sonstigen Quellen sorgfältig zusammengestellt. Diese Informationen wurden vom Unternehmen noch nicht autorisiert.Informationen für UnternehmenArbeitgeber bewerben sich bei Dir!So funktioniert's:Anonymes Profil anlegenUnternehmens- anfragen erhaltenKontaktdaten freigeben & durchstarten!Zur RegistrierungArbeitgeber bewerben sich bei Dir!So funktioniert's:Anonymes Profil anlegenUnternehmens- anfragen erhaltenKontaktdaten freig",Consulting;Site Reliability Engineering
BCG Platinion,Technical Consultant (all genders),"BCG PlatinionBCG PlatinionTechnical Consultant (all genders)Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Köln, München +1Agile MethodenArtificial Intelligence (AI)BlockchainCI/CD (Continuous Integration/Delivery)Cloud ComputingConsultant +4TopJetzt bewerbenDu möchtest aus den Herausforderungen der Digitalisierung die Lösungen der Zukunft entstehen lassen? Dann stelle dich mit uns entscheidenden IT-Themen weltweit führender Unternehmen. Hebe mit maßgeschneiderten Plattformen, Architekturen, Strategien und Organisationen das digitale Potenzial unserer Kunden und treibe wesentliche Innovationen voran. Greife dabei auf modernste Tools, wie Cloud, AI, Blockchain, Microservices und Containerization zurück. Bereichere mit deinen individuellen Stärken unser einzigartiges Team, das sich jederzeit zur Seite steht. Gemeinsam mit der Boston Consulting Group und unseren Kunden lassen wir digitale Visionen Realität werden.Präge die Welt von morgenDu gestaltest die digitale Transformation global führender Unternehmen, dabei stellst du durch die Bewertung von digitalen Capabilities des Kunden und Machbarkeitsstudien den Erfolg sicherDu steuerst kleine, agile Entwicklungsteams in strategischen IT-Implementierungsprogrammen, etablierst dabei moderne Ansätze wie DevOps und CI/CD und verantwortest die technische Umsetzung maßgeblicher digitaler Anforderungen wie etwa Cyber ResilienceDu analysierst, entwickelst und optimierst modernste maßgeschneiderte IT-Architekturen und nutzt dabei dein umfassendes Verständnis von Legacy IT, Enterprise Solutions sowie aktuellen Marktentwicklungen und Trends, wie etwa Cloud- oder MicroservicesDu machst den UnterschiedDu hast erfolgreich ein Studium der (Wirtschafts-)Informatik, BWL oder eines verwandten Studiengangs abgeschlossenDu hast schon mindestens zwei Jahre relevante Erfahrung in der IT-Beratung oder Softwareentwicklung gesammeltModerne Tools, wie zum Beispiel Machine Learning, Cyber Resilience, DevOps, agile Methoden, AI und Robotics sind für dich keine Buzzwords, sondern die richtigen Werkzeuge für zukunftsweisende IT-ArchitekturenDu bringst umfangreiches, technisches Fachwissen und Interesse an Technologietrends mitDu fühlst dich in interdisziplinären Teams und globalen Kontexten besonders wohl und bist dafür gerne flexibel und reisebereitDu kannst komplexe Sachverhalte auf Deutsch und Englisch sicher verstehen und vermittelnWie du bei uns wachsen kannstWir garantieren dir laufend neue Entwicklungsanreize in einem offenen und we",Artificial Intelligence (AI);Blockchain;Cloud Computing;Consultant;Microsoft Visio;Microservices;DevOps
Strivion,SAP Developer (w/m/d),"Deine Aufgaben: Design und Entwicklung von Lösungen auf Basis von S4/HANA Unterstützung bei der Integration von S4/HANA in die bestehende IT-Infrastruktur unserer Kunden Implementierung von Customizing-Anforderungen und Erweiterungen in S4/HANA Durchführung von Tests und Qualitätssicherungsmaßnahmen Erstellung von technischen Dokumentationen und Schulungen für Anwender Enge Zusammenarbeit mit anderen Fachbereichen, wie z.B. der IT-Abteilung oder dem Management | Deine Qualifikation: Abgeschlossenes Studium im Bereich Informatik, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung Mehrjährige Berufserfahrung in der Entwicklung von S4/HANA-Anwendungen Fundierte Kenntnisse in SAP-Entwicklungstechnologien wie ABAP, Fiori oder UI5 Erfahrung in der Implementierung von Customizing-Anforderungen und Erweiterungen in S4/HANA Gutes Verständnis von S4/HANA-Architekturen und -Systemen Sehr gute kommunikative Fähigkeiten und ein hohes Maß an Kundenorientierung Ausgeprägte Analyse- und Problemlösungsfähigkeit Fließende Deutsch- und Englischkenntnisse",ABAP;Developer
All for One Group,Integrationsmanager (m/w/d),"All for One GroupAll for One GroupIntegrationsmanager (m/w/d)Berlin, bundesweit, Bielefeld, Buxheim, Dortmund, Düsseldorf +10Home-OfficeConsultingKommunikationSAPSAP HANAUser Interface Design (UI)Jetzt bewerbenStandort: Berlin, Bielefeld, Buxheim, Dortmund, Düsseldorf, Ettlingen, Filderstadt, Frankfurt, Hamburg, Heidelberg, Heilbronn, Karlsruhe, Leipzig, München, WeingartenFachbereich:SAP ConsultingKarrierelevel:ProfessionalsSchön, wenn man sagen kann: Hier fühle ich mich zu Hause. Und tatsächlich ist es auch das, was das Arbeiten bei der All for One Group ausmacht. Sicher, die All for One Group steht als führende Consulting- und IT-Gruppe in erster Linie für Prozessberatung, Technologieberatung und Managementberatung. Sie bietet spannende Aufgaben und Projekte rund um Business-IT von SAP, Microsoft und IBM. Und dennoch: Wenn man sich bei unseren mittlerweile über 2.800 Kolleginnen und Kollegen so umhört, ist es eben dieser einzigartige Spirit, das großartige Miteinander und Füreinander, das sie sagen lässt: Die All for One Group ist ein Stück Zuhause. Werde Teil der All for One Group.Wir bieten an einem unserer deutschlandweiten Standorten ein neues Zuhause für einen Integrationsmanager (m/w/d)DAS MACHT DEINEN JOB SPANNEND:Definition von End-to-End-Prozessen mit dem Kunden:Enge Zusammenarbeit mit Kunden, um Geschäftsprozesse zu verstehen und zu analysierenEntwicklung von umfassenden End-to-End-Prozessen, die den Anforderungen und Zielen des Kunden entsprechenDurchführen von Prozess- und Integrationsmanagement:Planung, Koordination und Überwachung von Integrationsprojekten und -aktivitätenSicherstellung, dass die zu implementierenden Prozesse beim Kunden reibungslos und effizient ablaufenAufdecken von Schwachstellen:Identifizierung von Schwachstellen in den Prozessen und IntegrationenEntwicklung von Lösungen zur Optimierung und EffizienzsteigerungZusammenführen der Fachthemen im Hinblick auf Gesamtprozesse:Integration von Fachwissen aus verschiedenen Bereichen, um einen ganzheitlichen Blick auf die Prozesse zu gewährleistenEinbringen von Methodenkompetenz:Anwendung bewährter Methoden und Best Practices im Bereich des IntegrationsmanagementsDAS ERWARTET DICH:Spannende Projekte bei erfolgreichen Top-Unternehmen, Weltmarktführern und Hidden ChampionsOrganisierter Wissensaustausch mit erfahrenen Kollegen, Weiterbildungsmöglichkeiten zu Themen wie S/4HANAFlexible Arbeitszeiten inklusive Homeoffice30+1 Tage UrlaubWeiterentwicklungsmöglichkeiten mit Laufbahnmodel",Consulting;Kommunikation;User Interface Design (UI)
cbs Corporate Business Solutions,(Senior) Consultant (m/w/d) SAP Treasury & Risk Management,"cbs Corporate Business Solutionscbs Corporate Business Solutions(Senior) Consultant (m/w/d) SAP Treasury & Risk ManagementBerlin, Dortmund, Düsseldorf, Frankfurt am Main, Freiburg (im Breisgau), Hamburg +5Home-OfficeConsultantConsultingSAPSAP S/4HANASupportTopJetzt bewerbenWir sind die Berater der Weltmarktführer: Hochmotivierte Expertinnen und Experten, die als erfolgreiches Team digitale End-to-End-Geschäftsprozesslösungen vorantreiben. Gemeinsam stärken wir die Zukunft der beeindruckendsten Unternehmen der Welt aus Maschinen- und Anlagenbau, Automotive, Life Science, Pharma und Chemie, mit denen wir viel gemeinsam haben.Unser ausgezeichneter Ruf bei Hidden Champions öffnet Dir die Türen für anspruchsvolle Projekte mit einzigartigen Gestaltungsmöglichkeiten. Werde Teil einer der besten und verlässlichsten Beratungen und nutze vielfältige Entwicklungschancen. Als engagiertes Teammitglied kannst Du bei uns schnell Verantwortung übernehmen und über Dich hinauswachsen. Du triffst auf ein starkes Team, das zusammenhält und wirklich etwas bewegen will.Wir gestalten die globalen SAP Lösungen renommierter Industrieunternehmen. Im Finanz- und Rechnungswesen beraten wir unsere Kunden umfassend auf ihrem Weg vom operativen SAP Rechnungswesen zur strategischen Unternehmensführung auf Basis von SAP S/4HANA. Zur Verstärkung unseres Teams suchen wir ab sofort einen (Senior) Consultant (m/w/d) SAP Treasury & Risk Management für SAP Finance Projekte.Was Dich erwartetAktiver Support beim Aufbau eines Consulting-Teams für SAP Treasury and Risk ManagementEine herausfordernde und abwechslungsreiche Tätigkeit in einem dynamischen TeamBeratung und Implementierung von SAP Treasury und Hedge Management LösungenUnterstützung bei der Integration von SAP TRM in bestehende IT-LandschaftenAnalyse und Optimierung von Geschäftsprozessen im FinanzbereichDurchführung von Workshops und Schulungen für KundenWas wir uns wünschenAbgeschlossenes Studium im Bereich Wirtschaftswissenschaften, Informatik oder eine vergleichbare QualifikationMehrjährige Erfahrung in der Beratung sowie Implementierung des Moduls SAP Treasury und Risk Management, idealerweise als (Teil-)ProjektleiterAusgeprägte Fachkenntnisse im Bereich Finanzinstrumente (Devisen, Gelhandel, Derivate und Wertpapiere) sowie SAP TRM – Hedge ManagementExpertise im Bereich Cash- und Liquiditätsmanagement (Bank Communication Management, SAP Inhouse-Cash, Advanced Payment Management)Ausgeprägte analytische und konzeptionelle Fähigkeiten,",Consultant;Consulting;Support;Site Reliability Engineering
zeb,Software Entwickler für Cloud Anwendungen - AWS / Azure / Google Cloud (w|m|d),"Deine Aufgaben:: Bei zeb ist die Cloud der Treiber moderner Softwareentwicklung. Bei uns kannst du in die spannende Welt der Cloud-Technologien eintauchen und an innovativen Lösungen für die führenden Cloud-Anbieter AWS, Azure und Google Cloud arbeiten. Wir suchen Cloud Expert:innen oder solche, die Interesse daran haben, sich in diesem Bereich zu spezialisieren. Deine Aufgaben können vielfältig sein - zum Beispiel im Betrieb unserer Infrastruktur, im Betrieb von Kundenumgebungen, in der Anwendungsentwicklung oder DevOps - bei zeb geht alles in die Cloud. Unsere cloudbasierten Lösungen sind alles andere als langweilig. Hochwertige Benutzeroberflächen, massive Skalierbarkeit in der Cloud und ein hoher Automatisierungsgrad sind im Finanzbereich gefragt und fordern unsere Kreativität jeden Tag aufs Neue heraus. Du kannst dich nach deinen Fähigkeiten und Vorlieben spezialisieren - zum Beispiel auf die Entwicklung, DevOps oder den Betrieb von cloudbasierter Standardsoftware (SaaS).",Anwendungsentwicklung;CI/CD (Continuous Integration/Delivery);Cloud Computing;Design Thinking;DevOps;Microsoft Azure;Google Cloud
Deloitte,Consultant ServiceNow (m/w/d),"DeloitteDeloitteConsultant ServiceNow (m/w/d)Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Hannover, Köln +2Home-OfficeConsultantConsultingServiceNowTopJetzt bewerbenDeloitte bietet führende Prüfungs- und Beratungsleistungen in Audit & Assurance, Tax & Legal, Consulting und Advisory – für nahezu 90 % der Fortune Global 500® und zahlreiche private Unternehmen. Wir liefern innovative Denkansätze, lösen komplexe Herausforderungen und fördern nachhaltiges Wachstum. Mit rund 470.000 Mitarbeitenden weltweit eröffnen wir hervorragende Karrierechancen – getragen von einem starken „Wir“ und einer Vielfalt an Perspektiven und Fähigkeiten.Du willst im Bereich Technology & Transformation – ServiceNow Kunden dabei unterstützen, mit neuester Technologie ihr Enterprise Service Management umfassend zu optimieren? Unser Team konzipiert und steuert komplexe Transformationsprogramme, die Unternehmen dauerhaft agiler machen. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als Consultant ServiceNow (m/w/d).Standorte: Berlin, Düsseldorf, Frankfurt (Main), Hamburg, Hannover, Köln, München und Stuttgart.Dein Impact:Als Consultant ServiceNow (m/w/d) arbeitest du an ServiceNow Projekten unterschiedlicher Komplexität mit – und beflügelst so die digitale Transformation von Unternehmen.Technologie: ServiceNow und weitere neueste Technologien sind deine Tools, um das Enterprise Service Management unserer Kunden zu optimieren.Konzeption: Für unsere Beratungsthemen, beispielsweise IT Service Management, HR, Customer Service Management, Procurement und Security, konzipierst du auf Basis von ServiceNow digitale Lösungen.Analyse: Du analysierst und bewertest die fachlichen Anforderungen und Lösungsansätze zur Umsetzung in ServiceNow.Qualität: Gemeinsam mit dem Entwicklungsteam steuerst du Quality Reviews und führst diese durch.Teamwork: Mit unseren fachlichen Prozessexpert:innen, sowie unseren Near- und Offshore Entwicklungszentren, arbeitest du eng zusammen.Verantwortung: Von der Strategie und Analyse über Planung und Konzeption bis hin zur Implementierung setzt du Projekte mit einem hohen Grad an Verantwortung um.Dein Skillset:Sehr guter Abschluss in (Wirtschafts-) Informatik, Angewandte Informatik oder vergleichbar technischen StudiengängenBerufserfahrung mindestens 1 Jahr mit Schwerpunkt auf ServiceNow oder vergleichbaren Projekten innerhalb der digitalen TransformationPlanungsstärke in der Konzeption von ServiceNow-Landschaften und deren Einbettung in eine IT-Lan",Consultant;Consulting;ServiceNow
Tata Consultancy Services Deutschland GmbH,SAP S/4HANA Manufacturing Lead Consultant (all genders),"Tata Consultancy Services Deutschland GmbHTata Consultancy Services Deutschland GmbHSAP S/4HANA Manufacturing Lead Consultant (all genders)bundesweitHome-OfficeCloud ComputingConsultantConsultingSAPSAP HANASAP S/4HANATopJetzt bewerbenStandort: deutschlandweit Startdatum: ab sofortGestalten Sie Ihre IT-Karriere und werden Sie Teil eines internationalen Teams mit Tata Consultancy Services (TCS) Deutschland GmbH.Als Teil der Tata-Gruppe, Indiens größter multinationaler Unternehmensgruppe, beschäftigt TCS über 600.000 der weltweit bestausgebildeten Consultants in 55 Ländern. In Deutschland und Österreich arbeitet TCS derzeit mit über 100 Kunden an deren digitalen Transformationsprojekten zusammen, darunter mehr als 20 Dax-40-Unternehmen und zahlreiche kleine und mittelständische Unternehmen. In Deutschland arbeiten rund 3000 Beschäftigte an neun Standorten für TCS.Über die TCS SAP Practice:Unser Team besteht aus vielen erfahrenen SAP-Expert*innen, welche sich auf SAP-Angebote der nächsten Generation konzentrieren, wie z.B. Digital Core – S/4HANA, Cloud First Lösungen, Cognitive Automation, Conversational UX, etc.TCS hat eine einzigartige Beziehung zu der SAP SE. TCS und SAP beteiligen sich an Co-Innovation und gemeinsamen Go-To-Market Aktivitäten. Auf diese Weise erhalten die TCS-Berater*innen frühzeitig einen Einblick in neue SAP-Produkte. Die digital geprägte Umgebung der TCS SAP Practice und interessante Projekte bieten ein ideales Umfeld für die Mitarbeitenden, um ihr Wissen kontinuierlich zu erweitern und immer zukunftsfähig zu sein.Das erwartet SieZusammenarbeit mit den Stakeholdern der Kunden, um diese bei der Gestaltung vereinfachter Geschäftsprozesse auf der Grundlage von Best Practices der Branche zu unterstützenEntwurf zukunftssicherer Lösungen auf Basis von SAP S/4HANA und SAP Next Generation Cloud Solutions und dadurch Schaffung intelligenter Unternehmen der ZukunftUnterstützung von Pre-Sales-AktivitätenDas bringen Sie mitAbgeschlossenes HochschulstudiumFundierter SAP-Beratungshintergrund mit Fachwissen in mindestens einem der folgenden SAP-Fertigungsbereiche - S/4HANA Production Planning, Quality ManagementErfahrung in der Zusammenarbeit mit den Geschäftsführern des KundenVerständnis für die neuesten Innovationen in SAP-Produkten, insbesondere S/4HANAErfahrung in End-to-End SAP S/4HANA ProjektenVerhandlungssichere Deutsch- und EnglischkenntnisseDeutschlandweite ReisebereitschaftDas bieten wirÜber die TCS SAP Practice:Unser Team besteht aus vielen",Cloud Computing;Consultant;Consulting
Reply Deutschland SE,Junior Azure Platform Engineer (m/w/d),"Aufgaben: Als Junior Azure Platform Engineer (m/w/d) arbeitest du aktiv im Betrieb und in der Weiterentwicklung unserer Kubernetes-Plattform mit und sammelst dabei wertvolle praktische Erfahrung im Cloud- und DevOps-Umfeld. Live that DevOps life - Du unterstützt beim Betrieb und der Weiterentwicklung unserer K8s-Plattform Du designst und implementierst neue Kubernetes-Features, die Entwickler:innen wirklich glücklich machen Pipeline enthusiast - Entwicklung, Umsetzung und Pflege von CI/CD-Pipelines Wo Automatisierung möglich ist, setzt du sie konsequent um und manuelle Prozesse gehören der Vergangenheit an Du hilfst bei der Verwaltung unserer Azure-Infrastruktur und verbreitest Cloud Native insbesondere im Umfeld von Microsoft Azure AI in Action - Du nutzt AI in deinem eigenen Workflow und bringst sie gezielt ins Projekt, um Abläufe zu beschleunigen und bessere Ergebnisse zu erzielen Teamplayer - Zusammen mit den Entwicklungsteams lernst du moderne DevOps-Praktiken kennen und trägst zu deren Umsetzung bei | Qualifikationen: Don't stress - du musst nicht jede Box abhaken! Hier ist unsere Wunschliste: Du hast ein Studium mit IT-Bezug und sprichst sicher Deutsch und Englisch Cloud platforms (besonders Azure) lassen dein Herz höherschlagen Du hast erste Erfahrung mit Azure Kubernetes Du hast Lust dich in observability tools wie Loki, Prometheus und Grafana einzuarbeiten Erste Berührungspunkte mit Azure DevOps (optimalerweise: Bash, Shell, PowerShell, Python) und Infrastructure as Code (ARM, Terraform, Biceps, etc.) Am wichtigsten: Du bist ein Teamplayer, der eine Brise Humor mitbringt und begeisterst dich für Microsoft-Technologien Wen suchen wir? Wir suchen Leidenschaft und Potenzial, nicht Perfektion. Hast du die meisten Punkte drauf? Klasse! Lernst du noch ein paar? Noch besser - wir suchen Menschen, die wachsen wollen! Building our team: Wir arbeiten aktiv daran, ein vielfältigeres Team aufzubauen und freuen uns über Bewerbungen mit verschiedenen Perspektiven, die uns besser machen, in dem, was wir tun! Ready to join? Dann bewirb dich gerne über den apply button!",Cloud Computing;Consulting;Grafana;Kubernetes;Python;Bash;PowerShell;Microsoft Azure;Terraform;Prometheus
Inwerken,SAP-Entwickler (m/w/d),"InwerkenInwerkenSAP-Entwickler (m/w/d)Berlin, Braunschweig, Hamburg, Isernhagen, Jena, RenningenHome-OfficeABAP OOSAPSupportJetzt bewerbenDas macht uns als Ihren Arbeitgeber einzigartig:flexible Arbeitszeitgestaltung, durch Gleitzeitregelungen und mobilem Arbeiten bspw. von zu Hause auseine auf Ihre Bedürfnisse zugeschnittene Weiterentwicklungeinen großen eigenverantwortlichen Handlungsspielraum.eine herausragende Teamatmosphäre, in der gegenseitige Unterstützung selbstverständlich istunbefristeter Arbeitsvertrag in einem wachstumsstarken Unternehmenaktives Gesundheitsmanagement durch bspw. Inhouse-Physiotherapie und ergonomisch sowie modern eingerichtete Arbeitsplätzeviele Zusatzleistungen wie ein 13. Monatsgehalt und eine jährliche Erholungspauschale stocken das Gehalt aufFirmenevents, zu denen wir oft auch die ganze Familie einladen sowie viele weitere BenefitsBringen Sie sich bei uns ein:bei SAP-Kunden- und Entwicklungsprojekte mitwirken und diese durchführengemeinsam mit unseren Kunden neue Lösungsansätze entwickelntechnische Konzepte erstellen und effizientere Prozesse modellierensetzen Sie Entwicklungen im SAP-System umLeisten von Support und Fehleranalysen für bestehende LösungenWeiterentwicklung der Inwerken-ProduktpaletteWas Sie einzigartig macht:ein abgeschlossenes Studium der Wirtschaftswissenschaften, Informatik oder eine vergleichbare Qualifikationmindestens 2 Jahre Erfahrung in der ABAP-OO-EntwicklungKnow-how in Konzeption und Implementierung von SAP-Lösungenanalytisches und strukturiertes Denkvermögeneine hohe Bereitschaft zur Eigeninitiative, Kommunikations- und Teamfähigkeiteine selbstständige sowie strukturierte ArbeitsweiseIhre Fähigkeit, Kundenprobleme zu erkennen und zu einer Lösung zu führenIhr Interesse sich weiterzuentwickelnsehr gute Deutschkenntnisse und gute EnglischkenntnisseJetzt bewerbenJob-InfosBerufsfelderAnwendungsentwicklungStudienfächerInformatikInformationstechnikWirtschaftsinformatikWirtschaftswissenschaftenAbschlussBachelorMaster/DiplomUnternehmenInwerkenProfil3 IT-JobsIT-GehälterSalary Calculator Gerry LogoWas kann ich verdienen?Gehalt ausrechnenÄhnliche IT-JobsEVIDENT GmbHSoftwareentwickler (m/w/d) Bad Kreuznach AnwendungsentwicklungDr. Güldener GruppeSoftwareentwickler (m/w/d) Java / Angular – Backend & Microservices Stuttgart Webentwicklung +1ERGOExperte für Produktentwicklung - Java für Kafka Data Streaming Platform (m/w/d) Düsseldorf AnwendungsentwicklungDeichmannSenior Android Entwickler (m/w/d) Essen Anwendung",SAP;Support;Java;Angular;Apache Kafka;Microservices;Site Reliability Engineering
Software Company AMIC®,Mitarbeiter:in im Professional Service (m/w/d),"Software Company AMIC®Software Company AMIC®Mitarbeiter:in im Professional Service (m/w/d)bundesweit, Kiel, PleidelsheimHome-OfficeERPMS Office / Microsoft 365SQLJetzt bewerbenDas erwartet Dich:Durchführung kundenspezifischer ProzessanalysenAnwendungsberatung und Umsetzung in unserem ERP-System A.eins®Softwareinstallation und Konfiguration bei unseren Kund:innenEigenverantwortliches Ressourcenmanagement mit Blick auf die UnternehmenszieleAbwechslungsreiche Aufgaben mit technischem und beratendem SchwerpunktEinbindung in ein motiviertes Team mit wertschätzender UnternehmenskulturInteressante, vielseitige Tätigkeiten und spannende HerausforderungenZielgerichtete Einarbeitung und Vorbereitung auf deine AufgabenFreiraum und Förderung, um deine Stärken weiterzuentwickelnDas bringst Du mit:Ein abgeschlossenes Studium der (Wirtschafts-)Informatik oder eine vergleichbare QualifikationAlternativ eine Ausbildung als Fachinformatiker:in Anwendungsentwicklung, IT-Systemkaufmann/-frau oder kurz vor AbschlussBerufserfahrung in der Anwendung oder Betreuung einer ERP-Lösung, alternativ langjährige Praxis in ähnlichen BereichenErfahrung mit ERP-Systemen ist von VorteilAuch Quereinsteiger:innen mit relevanter Erfahrung sind willkommenGute Kenntnisse aktueller IT-Technologien und Softwareprodukte (MS Office, SQL)Eigeninitiative, Einsatzbereitschaft sowie analytische und konzeptionelle FähigkeitenSelbstständiges Arbeiten, kombiniert mit TeamgeistKommunikationsstärke und verantwortungsbewusstes HandelnReisebereitschaftDas macht uns besonders:Eigenverantwortliche Tätigkeit mit attraktiver und leistungsbezogener VergütungBereitstellung eines Firmenwagens nach erfolgreicher EinarbeitungszeitEinbindung in ein freundliches und hochmotiviertes TeamGemeinsam in die Zukunft: Altersvorsorge und unbefristete Zusammenarbeit30 Tage Urlaub, zusätzlich arbeitsfrei am Heiligabend und SilvesterJetzt bewerbenJob-InfosBerufsfelderSystem Engineering / AdminStudienfächerInformatikInformationstechnikWirtschaftsinformatikAbschlussAusbildungBachelorMaster/DiplomUnternehmenSoftware Company AMIC®Profil2 IT-JobsIT-GehälterSalary Calculator Gerry LogoWas kann ich verdienen?Gehalt ausrechnenÄhnliche IT-JobsVitosFachinformatiker (m/w/d) Systemintegration - IT Field Service Riedstadt System Engineering / AdminStatistisches Landesamt Baden-WürttembergSystemadministrator / IT-Mitarbeiter (w/m/d) im Referat » IT-Infrastruktur, Verfahrensbetreuung und Service Desk « Stuttgart System Engineering / AdminTCS – Ta",ERP;SQL;Site Reliability Engineering
infodas,Cybersecurity Consultant Marine (m/w/d),"Deine Aufgaben: Beratung zur IT-/OT-Sicherheit in Projekten mit Fokus Marine, BAAINBw und Wehrtechnik Erstellung sicherheitsrelevanter Konzepte nach BSI-Grundschutz, VSA, Bundeswehr-Vorgaben Begleitung von Akkreditierungen & Sicherheitsfreigaben Durchführung von Risikoanalysen und Entwicklung von Maßnahmen | Dein Profil: Erfolgreich abgeschlossenes Studium der (Wirtschafts-)Informatik oder IT-nahe Ausbildung Erfahrung mit Informationssicherheit und einschlägigen Standards Analysefähigkeit und technisches Verständnis für komplexe Systeme Vertiefte Kenntnisse bei der Anwendung des BSI-Grundschutz Erfahrung mit komplexen Systemarchitekturen im Bereich Marine Sehr gute Deutsch- und Englischkenntnisse Bereitschaft zu gelegentlichen Dienstreisen",Consultant;Consulting;Informationssicherheit;BSI-Grundschutz;Site Reliability Engineering
Deloitte,Praktikant / Werkstudent MINT - Tax (m/w/d),"DeloitteDeloittePraktikant / Werkstudent MINT - Tax (m/w/d)Berlin, Dresden, Düsseldorf, Frankfurt am Main, Halle (Saale), Hamburg +7ConsultingKommunikationMS ExcelMS SharepointNetworkingSQL +1TopJetzt bewerbenDeloitte bietet führende Prüfungs- und Beratungsleistungen in Audit & Assurance, Tax & Legal, Consulting und Advisory – für nahezu 90 % der Fortune Global 500® und zahlreiche private Unternehmen. Wir liefern innovative Denkansätze, lösen komplexe Herausforderungen und fördern nachhaltiges Wachstum. Mit rund 460.000 Mitarbeitenden weltweit eröffnen wir hervorragende Karrierechancen – getragen von einem starken „Wir“ und einer Vielfalt an Perspektiven und Fähigkeiten.Du willst in unserem Business Tax & Legal Mandanten zu steuerlichen Fragen und neuesten Technologien beraten? Unsere Teams unterstützen Unternehmen vielfältig: von Business Tax, Business Process Solutions und Global Employer Services über Indirect Tax, M&A Tax und Global Investment & Innovation Incentives bis hin zu Tax Technology Consulting, Transfer Pricing und unserem Innovationslabor Tax Garage. Sichere unseren gemeinsamen Erfolg und mach mit uns den Unterschied: als Praktikant - Werkstudent MINT (m/w/d).Standorte: Berlin, Dresden, Düsseldorf, Frankfurt (Main), Halle (Saale), Hamburg, Hannover, Köln, Leipzig, Mannheim, München, Nürnberg und Stuttgart.Dein Impact:Als Praktikant / Werkstudent MINT (m/w/d) kannst du dein technisches Know-how in operative Entscheidungsprozesse einbringen und global agierende Unternehmen bei der effizienten Erfüllung steuerlicher Anforderungen unterstützen.Hands-on-Einstieg: An Projekten mit Bezug zu Technologie, Automation und Organisationsfragen zur Prozessoptimierung in der Steuerfunktion arbeitetest du aktiv mit.Aufgabenvielfalt: Dabei bringst du dich z. B. bei der Optimierung IT-gestützter Unternehmensprozesse inklusive der Visualisierung ein.Tax: In Projekten, die wir für unsere Mandanten sowie für interne Fachbereiche umsetzen, unterstützt du uns bei der Entwicklung technischer Lösungen zur Prozessoptimierung.Innovation: An der Planung, Durchführung und Kommunikation von Innovationsprojekten bist du direkt beteiligt.Research: Du unterstützt bei qualitativen und quantitativen Recherchetätigkeiten sowie bei organisatorischen Abläufen.Dein Skillset:Studium oder vergleichbare Ausbildung in Bereichen wie z. B. Wirtschaftswissenschaft, Volkswirtschaftslehre, Mathematik, InformatikGute MS-Office-Kenntnisse und idealerweise Praxiserfahrung in Excel, VBA-Progr",Consulting;Kommunikation;Networking;SQL;VBA
